# # iw north average temp C,iw heating energy kWh,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C
22.21980118,67.52114643,65.9423431,1.764527304,64.05833333,-4.253240741,65.4520886567
21.94781105,17.13751921,0,0,96.30833333,6.773148148,32.2820615008
22.03455572,20.55176593,165.7319399,12.0043523,71.3,-1.228703704,41.7155715742
19.1964073,38.07288167,0,0,96.16666667,0.413425926,29.3735754475
22.57937053,22.40738542,243.5318444,509.0891428,44.23333333,4.818518519,26.4798651058
22.72634911,3.731635853,274.4959801,440.7494246,44.975,3.786574074,28.1998368658
17.571444,27.61944578,0,0,82.88333333,-4.018981482,36.4240757183
20.23630756,76.3486689,55.92498324,5.854388927,74.40833333,-1.946296296,56.7791751383
22.79372878,35.31663085,12.67542511,316.410208,54.59166667,3.560648148,41.8822417133
22.33753298,16.82966208,0,0,58.74166667,6.827777778,31.7673884533
21.73322686,39.97231413,58.37402204,3.85617364,75.175,8.996296297,53.0537595833
23.46642233,0,303.0543688,418.926351,52.325,19.74768518,12.3796107267
22.64600906,21.80459323,61.47882205,0.594414261,86.03333333,4.689814815,36.3361175917
13.94451089,0.482032277,0.80353061,0.263742148,85.725,-4.445370371,14.9055195292
22.69308737,39.73974494,49.1400772,0.965103578,98.14166667,6.945370371,40.4627323525
22.46514263,3.796925358,0,0,61.90833333,9.14212963,22.0556539775
22.37763537,6.570441815,0,0,89.125,12.85787037,25.4139395
22.61046554,26.47954441,83.03303381,0.815387229,81.60833333,3.098148148,38.8217080092
22.09952938,3.148939881,0,0,35.825,11.34537037,23.0378426292
17.35725136,91.3084688,2.28833242,1.379543092,85.15,-8.659259259,59.9070225917
22.86894125,28.04507864,69.47524057,1.248855147,90.73333333,3.469907407,47.7348573875
22.60833837,43.92280118,124.7612002,58.00796924,47.10833333,4.843055556,42.4709832117
21.99813299,18.59662523,0,0,92.69166667,3.905555556,32.7863824117
20.88184524,29.36532692,0,0,49.275,-2.661111111,39.7319560183
19.47139928,42.05340533,0,0,64.79166667,-11.6837963,46.4747767583
19.78735774,25.84863239,0,0,57.275,-3.313888889,27.3004799583
19.67999109,14.11916678,0,0,51.63333333,4.193518518,28.0763164175
18.66043365,47.96224421,0,0,78.25,-12.36435185,50.3165380558
22.53705892,3.122238938,230.842079,205.0251057,66.36666667,11.98657407,23.9571149075
22.77039954,25.52958498,38.13902182,22.23269415,90.80833333,2.775,38.3796846342
20.23630756,76.3486689,55.92498324,5.854388927,74.40833333,-1.946296296,56.7791751383
21.89095353,21.8135525,0,0,69.325,0.9,34.0759530417
22.66217243,2.862705838,0,0,74.35833333,10.77777778,21.7169146442
23.31470111,0,0,0,75.03333333,13.99768519,23.6067014167
21.59251693,8.440020398,0,0,64.21666667,1.333796296,29.0749392258
22.2680482,35.53707636,62.04845179,30.61054051,64.275,-3.140740741,45.9221300917
21.16185228,20.65301438,0,0,47.14166667,2.587962963,32.2410250558
20.88715569,29.29356477,0,0,80.15,-3.958796296,39.2771469442
20.94593606,4.538445367,250.925021,23.4456682,62.48333333,-3.16712963,29.5024097208
22.3579646,15.68094957,0,0,71.60833333,1.270833333,31.6623040225
21.93746759,18.54977055,0,0,90.3,6.8875,33.62831369
20.93903834,3.529854252,0,0,81.85,-1.2625,22.8583040817
22.58220635,12.64621705,0,0,84.19166667,10.70833333,29.7443486958
22.62968168,23.76054936,0,0,89.21666667,3.586574074,37.5065423767
23.02367664,3.666393192,91.92207793,703.9859943,50.89166667,12.9125,29.743279225
19.86641015,28.30710808,5.752381583,0.732432767,77.45,-2.02037037,37.7739971183
19.9521312,36.69742885,0,0,89.50833333,-2.691666667,44.7517607408
23.04479675,27.95209752,117.5728089,16.69851574,73.65,0.411111111,41.9125029175
21.12425324,0,0,0,92.2,10.09537063,21.4074557867
23.03946089,2.91001566,0,0,51.94166667,10.61990741,21.9009882317
22.88617205,9.849543127,46.46700807,0.382175411,98.125,7.281944445,35.5371939542
22.79723872,22.13204093,0,0,86.45833333,4.291666667,35.8616588975
21.43028952,50.28991659,205.3857905,15.87005814,74.74166667,-4.453703704,50.3281902317
18.69993015,21.63778107,0,0,65.4,-2.274074074,31.9375904817
22.43870879,17.0227985,0,0,59.83333333,7.11712963,32.2195472367
19.58757887,36.56981207,0,0,70.2,-7.60787037,42.7947474533
24.11653479,0,0,0,79.64166667,14.9837963,23.987958695
20.92416058,3.967693632,0,0,91.00833333,7.910185185,20.6721646017
22.76082708,20.00452764,0,0,73.9,3.156944444,38.2347556475
22.29689689,13.93983345,0,0,82.1,9.590740741,31.0932127358
23.10828846,0,322.6407274,147.4765862,54.85,17.84305556,11.078537485
20.0359942,75.00494685,54.50178114,0.206472196,77.5,-4.549074074,69.1218493525
22.29502459,5.104590929,172.5310549,64.18312388,73.525,9.645833333,27.8003624625
22.89209706,28.52632593,120.3915036,56.26726245,83.11666667,-3.569444445,45.0751397233
20.77175145,28.69677466,0,0,44.84166667,0.493981481,40.15806926
19.85641756,35.64533421,0,0,74.36666667,-7.164351852,41.575419075
23.0531285,0,0,0,50.86666667,10.39444444,22.99980424
22.57391178,10.11998428,0,0,41.53333333,8.7625,21.7009315642
27.04787412,0,145.2287308,65.39317114,53.275,22.84212963,25.1128173842
22.29358035,6.943011808,220.922329,83.70128214,86.00833333,14.08981482,31.99742076
20.88636454,3.910244152,212.4919171,591.0629711,52.675,-4.999537037,25.595971505
22.03455572,20.55176593,165.7319399,12.0043523,71.3,-1.228703704,41.7155715742
23.30423834,22.6520011,57.64909473,824.2022144,40.225,1.093518519,37.204562505
21.47125289,15.42357201,0,0,89.39166667,6.288888889,30.2847819458
22.14263956,18.52027833,0,0,75.1,4.075462963,32.5421041392
22.96474526,17.67962269,82.8336832,829.9269515,58.88333333,-4.084722222,49.5451100933
23.06808062,0,0,0,86.31666667,9.490277778,20.3589680967
19.69134622,2.925717426,0,0,92.58333333,5.366203704,18.7244107908
20.65570052,29.81431308,0,0,78.23333333,-0.833333333,40.3296752783
20.26198177,33.8475538,0,0,71.83333333,-5.290277778,42.20852847
20.23630756,76.3486689,55.92498324,5.854388927,74.40833333,-1.946296296,56.7791751383
21.14239322,25.92720303,0,0,90.46666667,3.55,37.8114201767
19.78626181,9.632825233,0,0,60.01666667,2.218055556,20.0807106017
21.74346171,21.4012716,0,0,65.70833333,3.228240741,34.6111654492
23.84564178,0,0,0,83.38333333,14.96759259,24.1636972175
24.63747971,0,1.145543285,5.712386422,72.06666667,16.58796296,23.9853330567
22.11754903,13.22586172,0,0,60.46666667,6.045833333,21.1150232742
22.37763537,6.570441815,0,0,89.125,12.85787037,25.4139395
19.77315032,40.22559678,0,0,69.63333333,-11.46574074,44.5568624992
22.27804869,29.44983421,32.05415201,0.325074937,72.24166667,0.431944755,40.3250299992
20.27487926,2.887719307,0,0,95.00833333,5.388888889,19.3181818475
22.81624749,23.47913445,90.75184666,20.83644346,74.64166667,3.375,38.1607594342
21.57828689,20.29482247,0,0,90.1,3.785185185,35.0016889483
20.4918164,3.512153017,0,0,51.09166667,0.214351852,22.6958183192
22.74535492,23.14144461,2.768542858,0.585113268,75.55,7.827314815,38.1650942325
21.4691084,19.11338343,0,0,61.875,5.716666667,33.0290734125
23.47063787,0,98.12929077,311.0380746,84.61666667,16.37083333,24.9312433475
21.04126815,3.270296758,0,0,56.23333333,2.79212963,21.3862804775
22.69346752,17.61189102,0,0,89.26666667,10.08287037,33.8479772083
19.21270792,27.57318053,0,0,54.78333333,-4.433333334,28.4135388608
23.10601046,2.933880447,163.1615922,12.15042398,79.05,8.988888889,21.7675527733
19.46035651,13.90811053,0,0,79.34166667,3.474074074,28.14855118
19.07658592,41.17875885,0.142963372,0.072140577,97.025,-0.349537037,30.0957393508
22.59602806,17.09919382,0,0,95.275,8.135185185,34.3209672683
22.10175872,64.40028653,0,0,95.33333333,7.79537037,54.4540536575
22.19700473,0,2.597065222,0.745888487,77.35833333,15.76712963,22.2797652317
21.73322686,39.97231413,58.37402204,3.85617364,75.175,8.996296297,53.0537595833
19.47139928,42.05340533,0,0,64.79166667,-11.6837963,46.4747767583
21.3753589,19.30803116,0,0,62.76666667,6.106481482,33.6320856208
22.65048747,30.18609395,169.5122926,61.34909435,68.8,-8.79537037,40.2239861017
23.65832723,2.89792024,0,0,54.06666667,10.88564815,22.697528515
22.50652351,3.11686042,11.28802081,1.110309275,91.64166667,13.0662037,23.4942275433
21.37396171,21.96987564,0,0,70.925,0.061574074,34.1451598992
18.59072329,23.7430413,0,0,79.00833333,-8.187037037,32.2304852117
21.20114912,25.64565339,0,0,77.24166667,1.325925926,37.6307647358
20.92759519,27.17945364,0,0,66.975,-1.578703704,38.4205027767
22.15760728,17.18029713,0,0,89.18333333,7.122685185,32.4497345183
26.53400642,0,157.5225439,604.9659994,46.14166667,24.6212963,24.9166985633
23.23889899,13.49131747,17.06043329,2.299584865,67.125,11.75601852,30.8117638933
22.54196121,3.374304201,191.7569827,474.0596648,70.125,5.868055556,26.715832945
23.33292137,2.822749908,0,0,53.16666667,10.64074074,22.2604495133
22.04643011,33.00629033,0,0,78.70833333,-0.706481482,42.4985227783
21.33727298,29.79602954,17.48815099,0.018298269,97.76666667,12.06435185,29.2701380883
22.5253458,47.70467437,54.02907236,490.4990738,77.375,1.006018519,61.0544451842
21.40471844,23.54753558,0,0,71.48333333,3.619907407,36.7910265867
22.5253458,47.70467437,54.02907236,490.4990738,77.375,1.006018519,61.0544451842
